* Possible couples highlighting relations between indicators

* NETWORK
Tcp_Listen#DIFFERENCE#UNIX_NETWORK;Tcp_Syn#DIFFERENCE#UNIX_NETWORK
Tcp_Listen#PLAIN#UNIX_NETWORK;Tcp_Syn#PLAIN#UNIX_NETWORK
Net_Received#DIFFERENCE#UNIX_NETWORK;Net_Sent#DIFFERENCE#UNIX_NETWORK
Net_Received#PLAIN#UNIX_NETWORK;Net_Sent#PLAIN#UNIX_NETWORK
Net_Received#DIFFERENCE#UNIX_NETWORK;Tcp_Established#DIFFERENCE#UNIX_NETWORK
Net_Received#PLAIN#UNIX_NETWORK;Tcp_Established#PLAIN#UNIX_NETWORK
Tcp_Close#DIFFERENCE#UNIX_NETWORK;Tcp_Established#DIFFERENCE#UNIX_NETWORK
Tcp_Close#PLAIN#UNIX_NETWORK;Tcp_Established#PLAIN#UNIX_NETWORK

* CENTOS
PageIn#PLAIN#CENTOS;PageOut#PLAIN#CENTOS
PageIn#DIFFERENCE#CENTOS;PageOut#DIFFERENCE#CENTOS
CPU Idle Processes#PLAIN#CENTOS;CPU User Processes#PLAIN#CENTOS
CPU Idle Processes#DIFFERENCE#CENTOS;CPU User Processes#DIFFERENCE#CENTOS
CPU Idle Processes#PLAIN#CENTOS;CPU Interrupts#PLAIN#CENTOS
CPU Idle Processes#DIFFERENCE#CENTOS;CPU Interrupts#DIFFERENCE#CENTOS
CPU User Processes#PLAIN#CENTOS;CPU Interrupts#PLAIN#CENTOS
CPU User Processes#DIFFERENCE#CENTOS;CPU Interrupts#DIFFERENCE#CENTOS
Active Memory#PLAIN#CENTOS;Activated Virtual Pages#PLAIN#CENTOS
Active Memory#DIFFERENCE#CENTOS;Activated Virtual Pages#DIFFERENCE#CENTOS
Active Memory#PLAIN#CENTOS;Cached Memory#PLAIN#CENTOS
Active Memory#DIFFERENCE#CENTOS;Cached Memory#DIFFERENCE#CENTOS
Inactive Memory#PLAIN#CENTOS;Free Memory#PLAIN#CENTOS
Inactive Memory#DIFFERENCE#CENTOS;Free Memory#DIFFERENCE#CENTOS
Inactive Memory#PLAIN#CENTOS;Cached Memory#PLAIN#CENTOS
Inactive Memory#DIFFERENCE#CENTOS;Cached Memory#DIFFERENCE#CENTOS
Active Files#PLAIN#CENTOS;Inactive Files#PLAIN#CENTOS
Active Files#DIFFERENCE#CENTOS;Inactive Files#DIFFERENCE#CENTOS
Buffers#PLAIN#CENTOS;Activated Virtual Pages#PLAIN#CENTOS
Buffers#DIFFERENCE#CENTOS;Activated Virtual Pages#DIFFERENCE#CENTOS
Buffers#PLAIN#CENTOS;Cached Memory#PLAIN#CENTOS
Buffers#DIFFERENCE#CENTOS;Cached Memory#DIFFERENCE#CENTOS
Buffers#PLAIN#CENTOS;CPU I/O Wait Processes#PLAIN#CENTOS
Buffers#DIFFERENCE#CENTOS;CPU I/O Wait Processes#DIFFERENCE#CENTOS
Inactive Files#PLAIN#CENTOS;Deactivated Virtual Pages#PLAIN#CENTOS
Inactive Files#DIFFERENCE#CENTOS;Deactivated Virtual Pages#DIFFERENCE#CENTOS

* JVM
CommittedVirtualMemorySize#PLAIN#JVM;FreePhysicalMemorySize#PLAIN#JVM
CommittedVirtualMemorySize#DIFFERENCE#JVM;FreePhysicalMemorySize#DIFFERENCE#JVM
CurrentThreadCpuTime#PLAIN#JVM;CurrentThreadUserTime#PLAIN#JVM
CurrentThreadCpuTime#DIFFERENCE#JVM;CurrentThreadUserTime#DIFFERENCE#JVM
HeapMemoryUsage.committed#PLAIN#JVM;NonHeapMemoryUsage.committed#PLAIN#JVM
HeapMemoryUsage.committed#DIFFERENCE#JVM;NonHeapMemoryUsage.committed#DIFFERENCE#JVM
HeapMemoryUsage.used#PLAIN#JVM;NonHeapMemoryUsage.used#PLAIN#JVM
HeapMemoryUsage.used#DIFFERENCE#JVM;NonHeapMemoryUsage.used#DIFFERENCE#JVM
Usage.used#PLAIN#JVM;PeakUsage.used#PLAIN#JVM
Usage.used#DIFFERENCE#JVM;PeakUsage.used#DIFFERENCE#JVM
LoadedClassCount#PLAIN#JVM;TotalLoadedClassCount#PLAIN#JVM
LoadedClassCount#DIFFERENCE#JVM;TotalLoadedClassCount#DIFFERENCE#JVM
SystemCpuLoad#PLAIN#JVM;ProcessCpuLoad#PLAIN#JVM
SystemCpuLoad#DIFFERENCE#JVM;ProcessCpuLoad#DIFFERENCE#JVM

* Cross Layer
Buffers#PLAIN#CENTOS;NonHeapMemoryUsage.used#PLAIN#JVM
Buffers#DIFFERENCE#CENTOS;NonHeapMemoryUsage.used#DIFFERENCE#JVM
Free Virtual Pages#PLAIN#CENTOS;FreePhysicalMemorySize#PLAIN#JVM
Free Virtual Pages#DIFFERENCE#CENTOS;FreePhysicalMemorySize#DIFFERENCE#JVM
Activated Virtual Pages#PLAIN#CENTOS;HeapMemoryUsage.used#PLAIN#JVM
Activated Virtual Pages#DIFFERENCE#CENTOS;HeapMemoryUsage.used#DIFFERENCE#JVM
Activated Virtual Pages#PLAIN#CENTOS;NonHeapMemoryUsage.used#PLAIN#JVM
Activated Virtual Pages#DIFFERENCE#CENTOS;NonHeapMemoryUsage.used#DIFFERENCE#JVM
Tcp_Syn#PLAIN#UNIX_NETWORK;Active Memory#PLAIN#CENTOS
Tcp_Syn#DIFFERENCE#UNIX_NETWORK;Active Memory#DIFFERENCE#CENTOS
Tcp_Syn#PLAIN#UNIX_NETWORK;Inactive Memory#PLAIN#CENTOS
Tcp_Syn#DIFFERENCE#UNIX_NETWORK;Inactive Memory#DIFFERENCE#CENTOS
Tcp_Syn#PLAIN#UNIX_NETWORK;Free Memory#PLAIN#CENTOS
Tcp_Syn#DIFFERENCE#UNIX_NETWORK;Free Memory#DIFFERENCE#CENTOS
Tcp_Syn#PLAIN#UNIX_NETWORK;Buffers#PLAIN#CENTOS
Tcp_Syn#DIFFERENCE#UNIX_NETWORK;Buffers#DIFFERENCE#CENTOS
Tcp_TimeWait#PLAIN#UNIX_NETWORK;SystemCpuLoad#PLAIN#JVM
