data_series,avg,std
Free Memory#DIFFERENCE#CENTOS@Active Memory#DIFFERENCE#CENTOS,-0.9990885207011938,6.892630930020526E-8
Free Memory#DIFFERENCE#CENTOS@Minor Page Faults#DIFFERENCE#CENTOS,-0.9908700861813018,2.4673831014742858E-5
Free Memory#DIFFERENCE#CENTOS@FreePhysicalMemorySize#DIFFERENCE#JVM,0.9843638236227422,0.005258164095483054
Inactive Files#PLAIN#CENTOS@CPU Soft Interrupts#PLAIN#CENTOS,0.952481277967587,9.944404006397981E-5
Inactive Files#PLAIN#CENTOS@CollectionTime#PLAIN#JVM,0.9265468470335602,5.800078092113465E-4
Inactive Files#PLAIN#CENTOS@Cached Memory#PLAIN#CENTOS,0.9999330254750596,4.110646773372561E-10
Inactive Files#PLAIN#CENTOS@Inactive Memory#PLAIN#CENTOS,0.9999966607213997,2.0877226480650405E-11
Inactive Files#PLAIN#CENTOS@Activated Virtual Pages#PLAIN#CENTOS,0.9964457079482019,4.813514322436836E-7
Inactive Files#PLAIN#CENTOS@CurrentThreadCpuTime#PLAIN#JVM,0.921281707524243,1.2129994679821648E-4
Inactive Files#PLAIN#CENTOS@CPU Kernel Processes#PLAIN#CENTOS,0.9264797094327094,2.49761161413654E-4
Inactive Files#PLAIN#CENTOS@CollectionCount#PLAIN#JVM,0.9261839572291279,1.0442131556543588E-4
Inactive Files#PLAIN#CENTOS@ProcessCpuTime#PLAIN#JVM,0.9263606986063194,1.296003000114459E-4
Inactive Files#PLAIN#CENTOS@CPU Idle Processes#PLAIN#CENTOS,0.9290148596334721,1.4204626569203326E-4
Inactive Files#PLAIN#CENTOS@TotalStartedThreadCount#PLAIN#JVM,0.9267035521563555,1.053285856529053E-4
Inactive Files#PLAIN#CENTOS@CPU User Processes#PLAIN#CENTOS,0.9117668504511641,9.496288382696564E-5
CPU Soft Interrupts#PLAIN#CENTOS@CollectionTime#PLAIN#JVM,0.988079698938031,5.603762125191913E-5
CPU Soft Interrupts#PLAIN#CENTOS@Minor Page Faults#PLAIN#CENTOS,0.9698532350945719,2.981802665871325E-5
CPU Soft Interrupts#PLAIN#CENTOS@Cached Memory#PLAIN#CENTOS,0.9528722453929149,1.0748070056729105E-4
CPU Soft Interrupts#PLAIN#CENTOS@Active Memory#PLAIN#CENTOS,0.9194116472825803,1.9356440379241044E-4
CPU Soft Interrupts#PLAIN#CENTOS@Inactive Memory#PLAIN#CENTOS,0.952498888786958,9.926260271906403E-5
CPU Soft Interrupts#PLAIN#CENTOS@Free Virtual Pages#PLAIN#CENTOS,0.9699012264011522,8.585464716674456E-6
CPU Soft Interrupts#PLAIN#CENTOS@PageOut#PLAIN#CENTOS,0.9159097973701524,5.336861807509961E-4
CPU Soft Interrupts#PLAIN#CENTOS@Activated Virtual Pages#PLAIN#CENTOS,0.9441957542704817,8.264383949316735E-5
CPU Soft Interrupts#PLAIN#CENTOS@Free Memory#PLAIN#CENTOS,-0.9264774651459797,1.7569597186202748E-4
