voter,anomaly,checkers,True Positives,True Negatives,False Positives,False Negatives,False Positive Rate,Precision,Recall,F-Measure,FScore(2.0),Accuracy,MatthewsCorrelationCoefficient,AUC,
BEST 3,ALL,3,0.0,190.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.9500000000000001,0.0,0.3949776546002019,
BEST 3,HALF,3,6.0,190.0,0.0,4.0,0.0,1.0,0.6794871794871794,0.7888888888888889,0.7162586315128688,0.98,0.8061297946043112,0.3949776546002019,
BEST 3,1,3,6.0,190.0,0.0,4.0,0.0,1.0,0.6794871794871794,0.7888888888888889,0.7162586315128688,0.98,0.8061297946043112,0.3949776546002019,
BEST 30,ALL,30,0.0,190.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.9500000000000001,0.0,0.5322198994029832,
BEST 30,HALF,30,2.0,189.66666666666666,0.3333333333333333,8.0,0.0017730496453900709,0.8888888888888888,0.24017094017094018,0.3682539682539683,0.2786030237010629,0.9583333333333334,0.44135494157592187,0.5322198994029832,
BEST 30,1,30,10.0,38.333333333333336,151.66666666666666,0.0,0.7984758531692199,0.06146106798823823,1.0,0.11504376143577143,0.24178502912860586,0.24166666666666667,0.10861319671867381,0.5322198994029832,
BEST 10,ALL,10,0.0,190.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.9500000000000001,0.0,0.5314136766990708,
BEST 10,HALF,10,1.3333333333333333,190.0,0.0,8.666666666666666,0.0,1.0,0.14786324786324787,0.253968253968254,0.17747828691224918,0.9566666666666667,0.3697864554253658,0.5314136766990708,
BEST 10,1,10,10.0,111.33333333333333,78.66666666666667,0.0,0.41354709120666566,0.11462463710398883,1.0,0.20275331891914472,0.3791560017063936,0.6066666666666666,0.254690552521173,0.5314136766990708,
0.9,ALL,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.9,HALF,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.9,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
FILTERED 10,ALL,10,0.0,190.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.9500000000000001,0.0,0.6312777226968533,
FILTERED 10,HALF,10,8.0,136.0,54.0,2.0,0.2834504669298161,0.1349206349206349,0.7965811965811967,0.22557165861513687,0.38271604938271603,0.7200000000000001,0.24361852656291264,0.6312777226968533,
FILTERED 10,1,10,10.0,0.0,190.0,0.0,1.0,0.049999999999999996,1.0,0.0946845875580733,0.20450278514794643,0.049999999999999996,0.0,0.6312777226968533,
