voter,anomaly,checkers,True Positives,True Negatives,False Positives,False Negatives,False Positive Rate,Precision,Recall,F-Measure,FScore(2.0),Accuracy,MatthewsCorrelationCoefficient,AUC,
BEST 3,ALL,3,1.6666666666666667,190.0,0.0,8.333333333333334,0.0,1.0,0.17564102564102566,0.2920634920634921,0.20885083593185705,0.9583333333333334,0.3999997015547145,0.2907561047479227,
BEST 3,HALF,3,9.0,171.0,19.0,1.0,0.1000414270752193,0.31864699627857523,0.8820512820512821,0.4569636302969636,0.6325163684404811,0.9,0.48798325889699395,0.2907561047479227,
BEST 3,1,3,9.0,171.0,19.0,1.0,0.1000414270752193,0.31864699627857523,0.8820512820512821,0.4569636302969636,0.6325163684404811,0.9,0.48798325889699395,0.2907561047479227,
BEST 30,ALL,30,0.0,190.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.9500000000000001,0.0,0.1665170084320015,
BEST 30,HALF,30,3.0,190.0,0.0,7.0,0.0,1.0,0.3213675213675214,0.4821428571428572,0.3706293706293706,0.965,0.5537079849067438,0.1665170084320015,
BEST 30,1,30,10.0,76.33333333333333,113.66666666666667,0.0,0.598302219265924,0.08113066325403274,1.0,0.14864492166350746,0.2982170413401899,0.43166666666666664,0.17694267387181797,0.1665170084320015,
BEST 10,ALL,10,0.0,190.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.9500000000000001,0.0,0.21206531368478002,
BEST 10,HALF,10,9.0,186.0,4.0,1.0,0.02105993019635072,0.6611111111111111,0.87991452991453,0.7525952123653273,0.8232181761593527,0.975,0.749243776047973,0.21206531368478002,
BEST 10,1,10,10.0,123.33333333333333,66.66666666666667,0.0,0.35101053862005055,0.1337539846856617,1.0,0.23180740549161602,0.4190250572728104,0.6666666666666666,0.289066789289032,0.21206531368478002,
0.9,ALL,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.9,HALF,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.9,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
FILTERED 10,ALL,10,0.0,190.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.9500000000000001,0.0,0.2130363439666886,
FILTERED 10,HALF,10,8.333333333333334,187.33333333333334,2.6666666666666665,1.6666666666666667,0.014002934904061312,0.7379509379509379,0.8286324786324787,0.7716049382716048,0.8024691358024691,0.9783333333333334,0.7666332308577196,0.2130363439666886,
FILTERED 10,1,10,10.0,129.66666666666666,60.333333333333336,0.0,0.3175108162592518,0.14746642246642247,1.0,0.25165428490236674,0.44358403586877587,0.6983333333333333,0.31096082289434074,0.2130363439666886,
