voter,anomaly,checkers,True Positives,True Negatives,False Positives,False Negatives,False Positive Rate,Precision,Recall,F-Measure,FScore(2.0),Accuracy,MatthewsCorrelationCoefficient,AUC,
BEST 3,ALL,3,4.666666666666667,190.0,0.0,5.333333333333333,0.0,1.0,0.5337606837606838,0.6775599128540305,0.5812093125896501,0.9733333333333333,0.7110890002569371,0.6986687611201554,
BEST 3,HALF,3,9.333333333333334,181.33333333333334,8.666666666666666,0.6666666666666666,0.04573908916837577,0.5025252525252525,0.9444444444444445,0.65203081232493,0.7983074986751458,0.9533333333333333,0.6671211037182484,0.6986687611201554,
BEST 3,1,3,9.333333333333334,181.33333333333334,8.666666666666666,0.6666666666666666,0.04573908916837577,0.5025252525252525,0.9444444444444445,0.65203081232493,0.7983074986751458,0.9533333333333333,0.6671211037182484,0.6986687611201554,
BEST 30,ALL,30,0.0,190.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.9500000000000001,0.0,0.44784673033801053,
BEST 30,HALF,30,5.666666666666667,186.66666666666666,3.3333333333333335,4.333333333333333,0.017294442450888004,0.6661856661856662,0.614957264957265,0.5888888888888889,0.5892236514376884,0.9616666666666666,0.5970973273604017,0.44784673033801053,
BEST 30,1,30,10.0,32.0,158.0,0.0,0.8311806327450882,0.06006497852695988,1.0,0.11246323185621566,0.23658613934697711,0.21,0.0994351399391415,0.44784673033801053,
BEST 10,ALL,10,2.6666666666666665,190.0,0.0,7.333333333333333,0.0,1.0,0.37564102564102564,0.4772486772486773,0.4072635343445555,0.9633333333333334,0.5498151684086614,0.7021460593142378,
BEST 10,HALF,10,6.666666666666667,185.33333333333334,4.666666666666667,3.3333333333333335,0.0244976967129658,0.5925925925925926,0.6918803418803418,0.6142857142857143,0.650781181810247,0.96,0.6083542862814686,0.7021460593142378,
BEST 10,1,10,10.0,162.66666666666666,27.333333333333332,0.0,0.14426478124851091,0.2579262540502851,1.0,0.4071969696969697,0.6275816382199361,0.8633333333333333,0.46649289133345645,0.7021460593142378,
0.9,ALL,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.9,HALF,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.9,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
FILTERED 10,ALL,10,0.0,190.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.9500000000000001,0.0,0.46691952170866696,
FILTERED 10,HALF,10,7.0,186.66666666666666,3.3333333333333335,3.0,0.0174122567739589,0.6634615384615384,0.6786324786324786,0.6570345596432553,0.6659678678451814,0.9683333333333333,0.6481043263059604,0.46691952170866696,
FILTERED 10,1,10,10.0,76.0,114.0,0.0,0.6003298606552675,0.08061861399683638,1.0,0.14784289784289786,0.2972081930415264,0.43,0.17552321082836472,0.46691952170866696,
