voter,anomaly,checkers,True Positives,True Negatives,False Positives,False Negatives,False Positive Rate,Precision,Recall,F-Measure,FScore(2.0),Accuracy,MatthewsCorrelationCoefficient,AUC,
BEST 3,ALL,3,7.0,168.0,22.0,3.0,0.11552761659144639,0.2448611111111111,0.7217948717948719,0.35290498974709505,0.49399350649350654,0.875,0.3630150568665755,0.65257748414369,
BEST 3,HALF,3,10.0,139.33333333333334,50.666666666666664,0.0,0.2664295793206932,0.1649904214559387,1.0,0.27861093687631866,0.47970779220779214,0.7466666666666667,0.34181502648169637,0.65257748414369,
BEST 3,1,3,10.0,139.33333333333334,50.666666666666664,0.0,0.2664295793206932,0.1649904214559387,1.0,0.27861093687631866,0.47970779220779214,0.7466666666666667,0.34181502648169637,0.65257748414369,
BEST 30,ALL,13,0.3333333333333333,185.0,5.0,9.666666666666666,0.026124487388567486,0.06666666666666667,0.025641025641025644,0.037037037037037035,0.029239766081871347,0.9266666666666667,0.007941462497382049,0.4167554540431809,
BEST 30,HALF,13,9.0,147.66666666666666,42.333333333333336,1.0,0.22218050340703654,0.18223121907332432,0.9188034188034188,0.29586114200964037,0.4810773419020842,0.7833333333333332,0.3415428419277787,0.4167554540431809,
BEST 30,1,13,10.0,84.66666666666667,105.33333333333333,0.0,0.5538744039995604,0.08783227475888027,1.0,0.15972042190875588,0.31531150009410874,0.47333333333333333,0.1948164202679649,0.4167554540431809,
BEST 10,ALL,10,2.3333333333333335,183.66666666666666,6.333333333333333,7.666666666666667,0.033098871647056875,0.29166666666666663,0.2658119658119658,0.24774354186118894,0.24922839506172836,0.93,0.22944592593786195,0.4019757714617979,
BEST 10,HALF,10,9.333333333333334,151.66666666666666,38.333333333333336,0.6666666666666666,0.2011300547595917,0.20314372049455556,0.9444444444444445,0.3252275194122067,0.517664023071377,0.805,0.37567120399456727,0.4019757714617979,
BEST 10,1,10,10.0,88.66666666666667,101.33333333333333,0.0,0.5326776963823271,0.09150524616626311,1.0,0.16569047410904214,0.32427536231884063,0.49333333333333335,0.20358397362492933,0.4019757714617979,
0.9,ALL,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.9,HALF,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
0.9,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
FILTERED 10,ALL,10,2.3333333333333335,183.66666666666666,6.333333333333333,7.666666666666667,0.033098871647056875,0.29166666666666663,0.2658119658119658,0.24774354186118894,0.24922839506172836,0.93,0.22944592593786195,0.4019757714617979,
FILTERED 10,HALF,10,9.333333333333334,151.66666666666666,38.333333333333336,0.6666666666666666,0.2011300547595917,0.20314372049455556,0.9444444444444445,0.3252275194122067,0.517664023071377,0.805,0.37567120399456727,0.4019757714617979,
FILTERED 10,1,10,10.0,88.66666666666667,101.33333333333333,0.0,0.5326776963823271,0.09150524616626311,1.0,0.16569047410904214,0.32427536231884063,0.49333333333333335,0.20358397362492933,0.4019757714617979,
