* Report for MADneSs activity on Wed Sep 04 13:00:38 CEST 2019
dataset,runs,algorithm,window_size,window_policy,setup,metric_score,True Positives,True Negatives,False Positives,False Negatives,False Positive Rate,Precision,Recall,FScore(0.5),F-Measure,FScore(2.0),Accuracy,MatthewsCorrelationCoefficient,Area Under ROC Curve,Custom,OVERLAP,OVERLAP_DETAIL
iscx_bruteforce,51,[ELKI_FASTABOD],,,BEST 1 - 1,0.6417910447761194,0.43,0.09,0.48,0.0,0.8421052631578947,0.4725274725274725,1.0,0.5282555282555282,0.6417910447761194,0.8174904942965779,0.52,0.2731475808521657,0.5789473684210527,0.05134177215189875,43.0,0.0
iscx_bruteforce,51,[ELKI_FASTABOD],,,BEST 1 - 1,0.6417910447761194,0.43,0.09,0.48,0.0,0.8421052631578947,0.4725274725274725,1.0,0.5282555282555282,0.6417910447761194,0.8174904942965779,0.52,0.2731475808521657,0.5789473684210527,0.05134177215189875,43.0,0.0
iscx_bruteforce,51,[ELKI_FASTABOD],,,BEST 1 - 1,0.6417910447761194,0.43,0.09,0.48,0.0,0.8421052631578947,0.4725274725274725,1.0,0.5282555282555282,0.6417910447761194,0.8174904942965779,0.52,0.2731475808521657,0.5789473684210527,0.05134177215189875,43.0,0.0
unsw_backdoor,531-572,[ELKI_FASTABOD],,,BEST 1 - 1,0.14751286449399656,0.010238095238095242,0.8714285714285713,0.04238095238095238,0.07595238095238095,0.0468777827692438,0.3685184485604654,0.09810843917986774,0.2019825652658575,0.13393947127328984,0.10639198343907944,0.8816666666666667,0.132259387684485,0.525615328205312,0.18779137401147755,31.476190476190474,0.42857142857142855
iscx_bruteforce,51,[DBSCAN],,,BEST 1 - 1,0.6564885496183206,0.43,0.12,0.45,0.0,0.7894736842105263,0.48863636363636365,1.0,0.5443037974683546,0.6564885496183206,0.826923076923077,0.55,0.3207348022855162,0.6052631578947368,0.07562500000000001,57.0,0.0
unsw_backdoor,531-572,[DBSCAN],,,null,0.0,0.0,0.8909523809523809,0.02285714285714286,0.08619047619047618,0.025932824586076778,0.0,0.0,0.0,0.0,0.0,0.8909523809523809,-0.02157772032613718,0.48703358770696153,0.0,31.904761904761905,0.42857142857142855
iscx_bruteforce,51,[DBSCAN],,,BEST 1 - 1,0.6564885496183206,0.43,0.12,0.45,0.0,0.7894736842105263,0.48863636363636365,1.0,0.5443037974683546,0.6564885496183206,0.826923076923077,0.55,0.3207348022855162,0.6052631578947368,0.07562500000000001,57.0,0.0
fff,11 - 30,[DBSCAN],,,BEST 1 - 1,0.0813008130081301,0.007894736842105263,0.8136842105263158,0.13157894736842107,0.04684210526315791,0.1393679441396948,0.04025263724663658,0.09976076555023923,0.045192923772077134,0.05580363082851227,0.07458868097844966,0.821578947368421,-0.02098219931924044,0.48019641070527225,0.09413171393421936,31.05263157894737,2.8421052631578947
fff,11 - 30,[DBSCAN],,,BEST 1 - 1,0.0813008130081301,0.007894736842105263,0.8136842105263158,0.13157894736842107,0.04684210526315791,0.1393679441396948,0.04025263724663658,0.09976076555023923,0.045192923772077134,0.05580363082851227,0.07458868097844966,0.821578947368421,-0.02098219931924044,0.48019641070527225,0.09413171393421936,31.05263157894737,2.8421052631578947
wesad_eda,11-20,[HBOS],,,BEST 1 - 1,0.18269230769230768,0.019000000000000003,0.8110000000000002,0.10499999999999998,0.06499999999999999,0.11495382680169582,0.1589521263050675,0.2114968364968365,0.16456067319928652,0.17618862202528263,0.19382945680590766,0.8299999999999998,0.0891396895907883,0.5482715048475704,0.35240672547904595,92.9,1.5
leapMotion,11-20,[HBOS],,,BEST 1 - 1,0.2626262626262626,0.043333333333333335,0.7133333333333333,0.24333333333333332,0.0,0.25402051175247053,0.1451388888888889,1.0,0.171629139282932,0.23765567765567766,0.4004329004329004,0.7566666666666667,0.30519819721144364,0.8729897441237647,0.4521684108211114,11.0,0.0
