@relation 'predF1_Full'

@attribute F1_1 numeric
@attribute F4_1 numeric
@attribute F7_1 numeric
@attribute class numeric

@data
2975.39,0.96,0.4,0.83
2955.16,0.55,0.13,0.82
2983,0.29,0.05,0.7
3724.91,0.89,0.24,0.99
1480.89,0.38,0.08,0.36
123.81,0.03,0.01,0.22
256.53,0.07,0.01,0.23
29.54,0.01,0,0.14
23.65,0.01,0,0.13
3449.15,0.29,0.05,0.49
2224.2,0.51,0.12,0.28
3513.84,0.92,0.38,0.67
341.11,0.02,0,0.09
2971.8,0.5,0.12,0.81
2941.25,0.86,0.3,0.74
3000,1,0.46,0.87
2865.54,0.92,0.34,0.84
1362,0.34,0.06,0.61
2589.04,0.75,0.29,0.59
3010.55,0.09,0.01,0.38
2054.88,0.25,0.04,0.38
2928.33,0.94,0.43,0.9
1787.58,0.21,0.04,0.09
454.27,0.16,0,0.34
359.07,0.02,0,0.03
3023.16,0.83,0.28,0.78
4014.53,0.86,0.43,0.86
2100,0.99,0.44,0.78
351.89,0.02,0,0.09
2914.55,0.28,0.05,0.49
2879.22,0.21,0.03,0.46
2841.81,0.3,0.05,0.39
2830.5,0.14,0.02,0.48
2933.34,0.33,0.06,0.39
2751.92,0.27,0.05,0.41
26.47,0.01,0,0.11
2355.55,0.68,0.3,0.69
1647.16,0.23,0.05,0.38
1820.52,0.5,0.12,0.34
1879.72,0.04,0,0.34
232.85,0.01,0,0.06
50.44,0.02,0,0.07
2169.32,0.47,0.1,0.54
2971.23,0.98,0.46,0.73
2814.31,0.24,0.04,0.43
3518.09,0.45,0.09,0.64
3014.03,0.4,0.1,0.2
3007.36,0.71,0.39,0.69
2545.34,0.59,0.32,0.61
1006.05,0.24,0.17,0.37
2231.96,0.77,0.4,0.62
825.36,0.15,0.02,0.26
1610.94,0.04,0,0.05
18125.93,0.85,0.45,0.788
10450.39,0.43,0.34,0.600
18125.93,0.85,0.45,0.707
10748.48,0.46,0.34,0.068
10270.77,0.43,0.31,0.656
9700.63,0.39,0.31,0.725
10689.81,0.44,0.34,0.815
1730.22,0.07,0.09,0.624
11040.64,0.47,0.34,0.714
10380.75,0.43,0.34,0.708
