@relation f2

@attribute F1@1 numeric
@attribute F4@1 numeric
@attribute F7@1 numeric
@attribute class numeric

@data
2975.39,0.96,0.4,0.02
2955.16,0.55,0.13,0.14
2983,0.29,0.05,0.02
3724.91,0.89,0.24,0.7
1480.89,0.38,0.08,0.04
123.81,0.03,0.01,0.08
256.53,0.07,0.01,0.07
29.54,0.01,0,0.05
23.65,0.01,0,0.04
3449.15,0.29,0.05,0.04
2224.2,0.51,0.12,0.09
3513.84,0.92,0.38,0.37
341.11,0.02,0,0.05
2971.8,0.5,0.12,0.12
2941.25,0.86,0.3,0.23
3000,1,0.46,0.42
2865.54,0.92,0.34,0.34
1362,0.34,0.06,0.21
2589.04,0.75,0.29,0.21
3010.55,0.09,0.01,0.22
2054.88,0.25,0.04,0.01
2928.33,0.94,0.43,0.59
1787.58,0.21,0.04,0.04
454.27,0.16,0,0.11
359.07,0.02,0,0
3023.16,0.83,0.28,0.41
4014.53,0.86,0.43,0.54
2100,0.99,0.44,0.01
351.89,0.02,0,0.01
2914.55,0.28,0.05,0.04
2879.22,0.21,0.03,0.02
2841.81,0.3,0.05,0.04
2830.5,0.14,0.02,0.03
2933.34,0.33,0.06,0.03
2751.92,0.27,0.05,0.03
26.47,0.01,0,0.02
2355.55,0.68,0.3,0.22
1647.16,0.23,0.05,0.02
1820.52,0.5,0.12,0.06
1879.72,0.04,0,0.01
232.85,0.01,0,0.01
50.44,0.02,0,0.02
2169.32,0.47,0.1,0.09
2971.23,0.98,0.46,0.3
2814.31,0.24,0.04,0.02
3518.09,0.45,0.09,0.07
3014.03,0.4,0.1,0.05
3007.36,0.71,0.39,0.33
2545.34,0.59,0.32,0.31
1006.05,0.24,0.17,0.13
2231.96,0.77,0.4,0.19
825.36,0.15,0.02,0.03
1610.94,0.04,0,0.01
749,0.03,0.04,0.837837655
1730,0.07,0.09,0.55394519
9701,0.39,0.31,0.822404385
10271,0.43,0.31,0.814707265
10381,0.43,0.34,0.832825934
10450,0.43,0.34,0.756864848
10690,0.44,0.34,0.846802621
10748,0.46,0.34,0.797890934
11041,0.47,0.34,0.832322165
18126,0.85,0.44,0.878507344
18126,0.85,0.45,0.852569829


