@relation DSN_WEKABase-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R9

@attribute F1@1 numeric
@attribute F2@1 numeric
@attribute F3@1 numeric
@attribute F4@1 numeric
@attribute F5@1 numeric
@attribute F6@1 numeric
@attribute F7@1 numeric
@attribute F8@1 numeric
@attribute class numeric

@data
2975.39,0.42,0.73,0.96,0.7,0.46,0.4,99.8,0.82
2955.16,0,0.34,0.55,0.31,0.69,0.13,99.93,0.82
2983,0.99,1,0.29,0.28,0.29,0.05,99.97,0.78
3724.91,0,0.15,0.89,0.17,0.88,0.24,129.95,0.99
1480.89,0.49,0.93,0.38,0.62,0.63,0.08,99.74,0.58
123.81,0.03,0.13,0.03,0.78,0.37,0.01,83.03,0.31
256.53,0.01,0.07,0.07,0.79,0.41,0.01,81.2,0.26
29.54,0.02,0.08,0.01,0.78,0.4,0,86.43,0.19
23.65,0.03,0.06,0.01,0.78,0.36,0,89.47,0.19
3449.15,0.91,0.86,0.29,0.75,0.73,0.05,99.58,0.52
2224.2,0.37,0.55,0.51,0.77,0.56,0.12,98.88,0.4
3513.84,0.31,0.63,0.92,0.8,0.62,0.38,99.33,0.7
341.11,0.2,0.06,0.02,0.82,0.26,0,93.96,0.17
2971.8,0.26,0.41,0.5,0.8,0.46,0.12,99.51,0.86
2941.25,0.28,0.46,0.86,0.74,0.59,0.3,99.27,0.77
3000,0.59,0.99,1,0.34,0.96,0.46,100,0.87
2865.54,0,0.11,0.92,0.26,0.92,0.34,99.97,0.87
1362,0.79,0.94,0.34,0.64,0.74,0.06,99.63,0.7
2589.04,0.16,0.67,0.75,0.73,0.78,0.29,96.47,0.73
3010.55,0.24,0.07,0.09,0.33,0.41,0.01,99.97,0.3
2054.88,0.31,0.18,0.25,0.6,0.13,0.04,97.7,0.37
2928.33,0.03,0.43,0.94,0.62,0.3,0.43,99.23,0.89
1787.58,0.11,0.24,0.21,0.82,0.46,0.04,49.17,0.18
454.27,0.25,0.39,0.16,0.52,0.16,0,69.07,0.52
359.07,0.21,0.06,0.02,0.63,0.27,0,98.9,0.05
3023.16,0.08,0.17,0.83,0.35,0.67,0.28,99.45,0.78
4014.53,0.02,0.44,0.86,0.34,0.46,0.43,96.51,0.89
2100,0.29,0.96,0.99,0.74,0.89,0.44,100,0.81
351.89,0.21,0.06,0.02,0.69,0.27,0,96.92,0.1
2914.55,0.16,0.07,0.28,0.61,0.33,0.05,99.8,0.59
2879.22,0.07,0.12,0.21,0.6,0.34,0.03,99.93,0.45
2841.81,0.12,0.2,0.3,0.6,0.39,0.05,99.66,0.45
2830.5,0.06,0.11,0.14,0.6,0.3,0.02,99.8,0.56
2933.34,0.03,0.25,0.33,0.63,0.35,0.06,99.8,0.46
2751.92,0.19,0.13,0.27,0.59,0.36,0.05,99.75,0.47
26.47,0.14,0.07,0.01,0.59,0.04,0,96.9,0.14
2355.55,0.28,0.81,0.68,0.79,0.51,0.3,93.23,0.74
1647.16,0.66,0.53,0.23,0.79,0.4,0.05,95.42,0.35
1820.52,0.05,0.22,0.5,0.54,0.35,0.12,98.4,0.42
1879.72,0.38,0.65,0.04,0.81,1,0,99.4,0.33
232.85,0.01,0.02,0.01,0.46,0.21,0,98.57,0.09
50.44,0.04,0.04,0.02,0.52,0.27,0,99.13,0.16
2169.32,0.03,0.14,0.47,0.54,0.33,0.1,94.34,0.61
2971.23,0.04,0.39,0.98,0.47,0.3,0.46,99.87,0.65
2814.31,0.05,0.09,0.24,0.53,0.34,0.04,99.57,0.43
3518.09,0.41,0.59,0.45,0.72,0.44,0.09,96.38,0.64
3014.03,0.09,0.43,0.4,0.71,0.54,0.1,97.71,0.65
3007.36,0.07,0.39,0.71,0.76,0.48,0.39,91.25,0.72
2545.34,0.06,0.4,0.59,0.75,0.75,0.32,88.05,0.59
1006.05,0.02,0.3,0.24,0.72,0.42,0.17,72.35,0.33
2231.96,0.06,0.5,0.77,0.76,0.52,0.4,90.64,0.61
825.36,0.11,0.21,0.15,0.73,0.38,0.02,94.23,0.34
1610.94,0.32,0.34,0.04,0.77,0.43,0,99.23,0.42
18125.93,0.85,0.2,0.85,0.66,0.87,0.45,98.72,0.85
10450.39,0.12,0.18,0.43,0.34,0.66,0.34,91.58,0.76
18125.93,0.69,0.23,0.85,1,0.94,0.44,98.51,0.88
10748.48,0.74,0.01,0.46,0.25,0.47,0.34,96.53,0.88
10270.77,0.52,0.27,0.43,0.34,0.18,0.31,98.81,0.81
9700.63,0.63,0,0.39,0.15,0.49,0.31,92.83,0.82
10689.81,0.32,0.74,0.44,0.02,0.22,0.34,91.21,0.85
1730.22,0.49,0.28,0.07,0.27,0.77,0.09,93.67,0.55
11040.64,0.45,1,0.47,0.58,0.75,0.34,90.86,0.83
10380.75,0.95,0.86,0.43,0.46,0.62,0.34,99.62,0.83
749.44,0.61,0.37,0.03,0.26,0.28,0.04,95.08,0.84
