@relation 'bigTable-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R33,35-38'

@attribute RF_10 numeric
@attribute RF_5 numeric
@attribute RF_3 numeric
@attribute RF_1 numeric
@attribute J4_10 numeric
@attribute J4_5 numeric
@attribute J4_3 numeric
@attribute J4_1 numeric
@attribute OR_10 numeric
@attribute OR_5 numeric
@attribute OR_3 numeric
@attribute OR_1 numeric
@attribute CS_10 numeric
@attribute CS_5 numeric
@attribute CS_3 numeric
@attribute CS_1 numeric
@attribute IG_10 numeric
@attribute IG_5 numeric
@attribute IG_3 numeric
@attribute IG_1 numeric
@attribute P_10 numeric
@attribute P_5 numeric
@attribute P_3 numeric
@attribute P_1 numeric
@attribute PCA_10 numeric
@attribute PCA_5 numeric
@attribute PCA_3 numeric
@attribute PCA_1 numeric
@attribute R_10 numeric
@attribute R_5 numeric
@attribute R_3 numeric
@attribute R_1 numeric
@attribute Recall numeric

@data
0.544,0.585,0.608,0.656,0.059,0.061,0.063,0.063,99.2,99.4,99.6,99.7,4687.3,4888,5030.5,5109.4,0.322,0.332,0.341,0.347,0.177,0.28,0.348,0.385,0.251,0.385,0.469,0.584,0.12,0.151,0.176,0.183,1
0.238,0.256,0.269,0.274,0.049,0.05,0.051,0.051,96.1,96.2,96.3,96.3,2777.6,2829.8,2841.4,2870.9,0.201,0.205,0.206,0.209,0.046,0.053,0.059,0.067,0.233,0.369,0.455,0.581,0.039,0.044,0.048,0.055,0.645963
0.234,0.249,0.258,0.267,0.044,0.046,0.048,0.048,95.6,95.8,96,96.2,2541.9,2669.5,2758.6,2852.4,0.186,0.195,0.201,0.206,0.196,0.266,0.31,0.332,0.244,0.377,0.462,0.583,0.039,0.045,0.049,0.053,0.559006
0.23,0.242,0.251,0.252,0.028,0.029,0.03,0.03,96,96.1,96.2,96.3,2108.7,2175.6,2188.5,2192,0.128,0.13,0.131,0.133,0.115,0.214,0.283,0.321,0.25,0.385,0.469,0.584,0.037,0.043,0.046,0.05,0.608696
0.57,0.627,0.639,0.651,0.06,0.063,0.065,0.066,99.2,99.4,99.6,99.7,4522.5,4717.7,4855.1,4931.4,0.33,0.34,0.35,0.356,0.18,0.287,0.356,0.393,0.251,0.386,0.47,0.584,0.12,0.151,0.176,0.183,0.670807
0.799,0.895,0.931,0.96,0.014,0.015,0.015,0.016,99.8,99.9,100,100,4373.3,4660.9,4723,4723,0.111,0.116,0.118,0.118,0.34,0.551,0.683,0.747,0.243,0.376,0.462,0.583,0.246,0.32,0.364,0.45,1
0.123,0.126,0.127,0.13,0.016,0.016,0.016,0.016,100,100,100,100,4724,4724,4724,4724,0.119,0.119,0.119,0.119,0.018,0.03,0.044,0.047,0.231,0.368,0.455,0.582,0.302,0.47,0.629,0.828,1
0.724,0.796,0.847,0.984,0.037,0.038,0.038,0.039,99.6,99.7,99.8,99.8,4623.5,4754.3,4779.3,4840,0.231,0.235,0.236,0.241,0.114,0.129,0.138,0.143,0.224,0.359,0.446,0.58,0.11,0.126,0.139,0.179,1
0.232,0.252,0.259,0.267,0,0,0,0,96.3,96.3,96.3,96.3,3.9,7.7,12.8,38.5,0.001,0.002,0.003,0.008,0.03,0.046,0.047,0.048,0.222,0.357,0.445,0.581,0.04,0.045,0.048,0.05,0.368421
0.624,0.715,0.766,0.811,0.053,0.056,0.058,0.059,99,99.2,99.4,99.5,1544,1616.2,1631.8,1663.6,0.302,0.314,0.317,0.317,0.157,0.199,0.206,0.235,0.29,0.445,0.535,0.635,0.175,0.192,0.204,0.253,1
0.249,0.26,0.27,0.296,0.045,0.046,0.046,0.047,95.9,96,96.1,96.1,931.2,943.2,951.6,961.7,0.193,0.197,0.198,0.201,0.038,0.047,0.051,0.066,0.262,0.421,0.516,0.623,0.075,0.095,0.112,0.152,0.717647
0.26,0.272,0.277,0.281,0.042,0.046,0.049,0.051,95.4,95.9,96.2,96.4,904.8,960.1,981.8,1001.9,0.193,0.202,0.206,0.211,0.173,0.214,0.217,0.223,0.256,0.394,0.478,0.583,0.074,0.093,0.111,0.159,0.570588
0.25,0.259,0.265,0.274,0.02,0.022,0.022,0.023,95.8,96,96.1,96.1,631,663.7,687.2,759.1,0.109,0.114,0.118,0.137,0.081,0.134,0.145,0.189,0.287,0.443,0.534,0.634,0.074,0.09,0.105,0.138,0.870588
0.573,0.651,0.675,0.735,0.055,0.058,0.06,0.061,98.9,99.2,99.3,99.5,1493,1561.3,1576.4,1607.3,0.31,0.322,0.324,0.325,0.158,0.202,0.209,0.24,0.29,0.446,0.536,0.637,0.174,0.191,0.203,0.252,0.805882
0.772,0.858,0.907,0.966,0.01,0.012,0.012,0.014,99.6,99.8,99.8,99.9,1348.3,1464,1525.9,1630,0.099,0.105,0.109,0.114,0.282,0.399,0.409,0.437,0.253,0.392,0.475,0.582,0.444,0.563,0.574,0.598,1
0.123,0.137,0.154,0.175,0.013,0.013,0.013,0.013,100,100,100,100,1626,1626,1626,1626,0.1,0.1,0.1,0.1,0.02,0.035,0.045,0.088,0.259,0.419,0.516,0.624,0.706,0.902,1,1,1
0.603,0.718,0.84,0.918,0.036,0.038,0.039,0.039,99.5,99.7,99.8,99.8,1527.8,1573,1590.3,1598.5,0.224,0.23,0.232,0.236,0.108,0.109,0.109,0.109,0.228,0.368,0.457,0.571,0.189,0.199,0.21,0.255,1
0.241,0.257,0.271,0.274,0,0,0,0,96.4,96.4,96.4,96.4,0,0,0,0,0,0,0,0,0.013,0.02,0.026,0.052,0.224,0.363,0.453,0.566,0.076,0.096,0.112,0.145,0.058824
0.347,0.364,0.379,0.419,0.011,0.014,0.016,0.02,95.3,95.6,95.9,96.1,1283.9,1550.6,1669,1880.1,0.149,0.17,0.181,0.19,-0.1,-0.076,-0.065,-0.022,0.073,0.121,0.164,0.289,0.022,0.026,0.031,0.044,0.462264
0.272,0.302,0.316,0.331,0.007,0.01,0.011,0.012,92.3,92.6,92.7,92.9,647,824.6,885,1022.9,0.078,0.096,0.102,0.114,-0.105,-0.081,-0.069,-0.03,0.073,0.122,0.166,0.289,0.014,0.017,0.019,0.022,0.518072
0.267,0.288,0.302,0.312,0.005,0.007,0.008,0.009,91.7,91.8,91.9,92,604.9,731.2,800.3,895.7,0.076,0.089,0.096,0.108,0.115,0.136,0.148,0.198,0.092,0.155,0.202,0.28,0.012,0.015,0.016,0.017,0.524096
0.273,0.304,0.317,0.322,0.009,0.013,0.014,0.014,94,94.3,94.4,94.6,687.5,856.2,912.4,992.5,0.062,0.076,0.08,0.087,-0.083,-0.055,-0.04,0.005,0.073,0.122,0.165,0.29,0.016,0.018,0.021,0.023,0.373494
