@relation Data_R

@attribute F1@1 numeric
@attribute F4@1 numeric
@attribute F7@1 numeric
@attribute class numeric

@data
2975.39,0.96,0.4,0.81
2955.16,0.55,0.13,0.82
2983,0.29,0.05,1
3724.91,0.89,0.24,1
1480.89,0.38,0.08,1
123.81,0.03,0.01,0.47
256.53,0.07,0.01,0.33
29.54,0.01,0,0.34
23.65,0.01,0,0.34
3449.15,0.29,0.05,0.69
2224.2,0.51,0.12,0.76
3513.84,0.92,0.38,0.74
341.11,0.02,0,0.5
2971.8,0.5,0.12,0.92
2941.25,0.86,0.3,0.82
3000,1,0.46,0.87
2865.54,0.92,0.34,0.91
1362,0.34,0.06,0.84
2589.04,0.75,0.29,0.86
3010.55,0.09,0.01,0.27
2054.88,0.25,0.04,0.41
2928.33,0.94,0.43,0.89
1787.58,0.21,0.04,0.87
454.27,0.16,0,0.9
359.07,0.02,0,0.33
3023.16,0.83,0.28,0.78
4014.53,0.86,0.43,0.91
2100,0.99,0.44,0.95
351.89,0.02,0,0.48
2914.55,0.28,0.05,0.84
2879.22,0.21,0.03,0.53
2841.81,0.3,0.05,0.62
2830.5,0.14,0.02,0.78
2933.34,0.33,0.06,0.71
2751.92,0.27,0.05,0.74
26.47,0.01,0,0.37
2355.55,0.68,0.3,0.79
1647.16,0.23,0.05,0.41
1820.52,0.5,0.12,0.58
1879.72,0.04,0,0.42
232.85,0.01,0,0.42
50.44,0.02,0,0.88
2169.32,0.47,0.1,0.75
2971.23,0.98,0.46,0.61
2814.31,0.24,0.04,0.58
3518.09,0.45,0.09,0.68
3014.03,0.4,0.1,0.63
3007.36,0.71,0.39,0.77
2545.34,0.59,0.32,0.59
1006.05,0.24,0.17,0.31
2231.96,0.77,0.4,0.62
825.36,0.15,0.02,0.51
1610.94,0.04,0,0.38
18126,0.85,0.45,0.837
10450,0.43,0.34,0.793
18126,0.85,0.44,0.875
10748,0.46,0.34,0.942
10271,0.43,0.31,0.878
9701,0.39,0.31,0.888
10690,0.44,0.34,0.873
1730,0.07,0.09,0.527
11041,0.47,0.34,0.850
10381,0.43,0.34,0.855
749,0.03,0.04,0.986
